disease,gene_symbol,gene_full_name
Isolated complex III deficiency,UQCC2,ubiquinol-cytochrome c reductase complex assembly factor 2
Isolated complex III deficiency,UQCC3,ubiquinol-cytochrome c reductase complex assembly factor 3
Isolated complex III deficiency,UQCRFS1,"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1"
Paris-Trousseau thrombocytopenia,FLI1,"Fli-1 proto-oncogene, ETS transcription factor"
Hereditary fibrosing poikiloderma-tendon contractures-myopathy-pulmonary fibrosis syndrome,FAM111B,FAM111 trypsin like peptidase B
Poikiloderma with neutropenia,USB1,U6 snRNA biogenesis phosphodiesterase 1
Severe hereditary thrombophilia due to congenital protein C deficiency,PROC,"protein C, inactivator of coagulation factors Va and VIIIa"
Familial cerebral cavernous malformation,CCM2,CCM2 scaffold protein
Familial cerebral cavernous malformation,KRIT1,KRIT1 ankyrin repeat containing
Familial cerebral cavernous malformation,PDCD10,programmed cell death 10
Familial cerebral cavernous malformation,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"
Glanzmann thrombasthenia,ITGA2B,integrin subunit alpha 2b
Glanzmann thrombasthenia,ITGB3,integrin subunit beta 3
Familial infantile bilateral striatal necrosis,NUP54,nucleoporin 54
Familial infantile bilateral striatal necrosis,ADAR,adenosine deaminase RNA specific
Familial infantile bilateral striatal necrosis,MT-ATP6,mitochondrially encoded ATP synthase membrane subunit 6
Familial infantile bilateral striatal necrosis,NUP62,nucleoporin 62
TFR2-related hemochromatosis,TFR2,transferrin receptor 2
Fowler vasculopathy,FLVCR2,FLVCR choline and putative heme transporter 2
Combined immunodeficiency with facio-oculo-skeletal anomalies,KNSTRN,kinetochore localized astrin (SPAG5) binding protein
Combined immunodeficiency with facio-oculo-skeletal anomalies,PIK3CD,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta"
"Cutis laxa with severe pulmonary, gastrointestinal and urinary anomalies",LTBP4,latent transforming growth factor beta binding protein 4
"Cutis laxa with severe pulmonary, gastrointestinal and urinary anomalies",LTBP4,latent transforming growth factor beta binding protein 4
Severe combined immunodeficiency due to CORO1A deficiency,CORO1A,coronin 1A
Idiopathic CD4 lymphocytopenia,UNC119,unc-119 lipid binding chaperone
Testicular seminomatous germ cell tumor,KIT,"KIT proto-oncogene, receptor tyrosine kinase"
"Autosomal recessive optic atrophy, OPA7 type",TMEM126A,transmembrane protein 126A
Fundus albipunctatus,PRPH2,peripherin 2
Fundus albipunctatus,RDH5,retinol dehydrogenase 5
Fundus albipunctatus,RLBP1,retinaldehyde binding protein 1
Langerhans cell histiocytosis,MAP2K1,mitogen-activated protein kinase kinase 1
Langerhans cell histiocytosis,NRAS,"NRAS proto-oncogene, GTPase"
Langerhans cell histiocytosis,BRAF,"B-Raf proto-oncogene, serine/threonine kinase"
Progressive sensorineural hearing loss-hypertrophic cardiomyopathy syndrome,MYO6,myosin VI
Burkitt lymphoma,MYC,"MYC proto-oncogene, bHLH transcription factor"
Skeletal Ewing sarcoma,ERG,ETS transcription factor ERG
Skeletal Ewing sarcoma,ETV1,ETS variant transcription factor 1
Skeletal Ewing sarcoma,EWSR1,EWS RNA binding protein 1
Skeletal Ewing sarcoma,FLI1,"Fli-1 proto-oncogene, ETS transcription factor"
Skeletal Ewing sarcoma,ETV4,ETS variant transcription factor 4
Hereditary breast cancer,NQO2,N-ribosyldihydronicotinamide:quinone dehydrogenase 2
Hereditary breast cancer,ATM,ATM serine/threonine kinase
Hereditary breast cancer,CDH1,cadherin 1
Hereditary breast cancer,BRCA1,BRCA1 DNA repair associated
Hereditary breast cancer,BRCA2,BRCA2 DNA repair associated
Hereditary breast cancer,PALB2,partner and localizer of BRCA2
Hereditary breast cancer,XRCC2,X-ray repair cross complementing 2
Hereditary breast cancer,KLLN,"killin, p53 regulated DNA replication inhibitor"
Hereditary breast cancer,RAD54L,RAD54 like
Hereditary breast cancer,SLC67A1,solute carrier family 67 member 1
Osteosarcoma,CHEK2,checkpoint kinase 2
Osteosarcoma,RB1,RB transcriptional corepressor 1
Osteosarcoma,TP53,tumor protein p53
Osteosarcoma,TP53,tumor protein p53
"Multiple system atrophy, cerebellar type",COQ2,"coenzyme Q2, polyprenyltransferase"
Fibrosarcoma,ETV6,ETS variant transcription factor 6
Fibrosarcoma,NTRK3,neurotrophic receptor tyrosine kinase 3
Solitary fibrous tumor,STAT6,signal transducer and activator of transcription 6
Solitary fibrous tumor,NAB2,NGFI-A binding protein 2
Pseudoxanthoma elasticum,ABCC6,ATP binding cassette subfamily C member 6
Pseudoxanthoma elasticum,ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1
Hyperprolinemia type 1,PRODH,proline dehydrogenase 1
Adrenocortical carcinoma,TP53,tumor protein p53
Adrenocortical carcinoma,TP53,tumor protein p53
Adrenocortical carcinoma,ZNRF3,zinc and ring finger 3
Adrenocortical carcinoma,CTNNB1,catenin beta 1
Adrenocortical carcinoma,CDKN2A,cyclin dependent kinase inhibitor 2A
Adrenocortical carcinoma,TERT,telomerase reverse transcriptase
Adrenocortical carcinoma,PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha
Genetic transient congenital hypothyroidism,DUOX2,dual oxidase 2
Hypothyroidism due to deficient transcription factors involved in pituitary development or function,POU1F1,POU class 1 homeobox 1
Hypothyroidism due to deficient transcription factors involved in pituitary development or function,PROP1,PROP paired-like homeobox 1
Hypothyroidism due to deficient transcription factors involved in pituitary development or function,HESX1,HESX homeobox 1
Hypothyroidism due to deficient transcription factors involved in pituitary development or function,LHX3,LIM homeobox 3
Hypothyroidism due to deficient transcription factors involved in pituitary development or function,LHX4,LIM homeobox 4
Synovial sarcoma,SS18,SS18 subunit of BAF chromatin remodeling complex
Synovial sarcoma,SSX1,SSX family member 1
Synovial sarcoma,SSX2,SSX family member 2
Larsen syndrome,FLNB,filamin B
Megalencephalic leukoencephalopathy with subcortical cysts,MLC1,modulator of VRAC current 1
Megalencephalic leukoencephalopathy with subcortical cysts,HEPACAM,hepatic and glial cell adhesion molecule
Primary Fanconi renotubular syndrome,EHHADH,enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase
Primary Fanconi renotubular syndrome,GATM,glycine amidinotransferase
Primary Fanconi renotubular syndrome,SLC34A1,solute carrier family 34 member 1
Primary Fanconi renotubular syndrome,NDUFAF6,NADH:ubiquinone oxidoreductase complex assembly factor 6
Arginine vasopressin resistance,AVPR2,arginine vasopressin receptor 2
Arginine vasopressin resistance,AQP2,aquaporin 2
GATA2 deficiency spectrum,GATA2,GATA binding protein 2
Chronic myeloid leukemia,BCR,BCR activator of RhoGEF and GTPase
Chronic myeloid leukemia,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase"
Chronic myeloid leukemia,RUNX1,RUNX family transcription factor 1
5q35 microduplication syndrome,NSD1,nuclear receptor binding SET domain protein 1
Hereditary butyrylcholinesterase deficiency,BCHE,butyrylcholinesterase
Syndromic multisystem autoimmune disease due to Itch deficiency,ITCH,itchy E3 ubiquitin protein ligase
Isolated Klippel-Feil syndrome,GDF3,growth differentiation factor 3
Isolated Klippel-Feil syndrome,MEOX1,mesenchyme homeobox 1
Isolated Klippel-Feil syndrome,GDF6,growth differentiation factor 6
Familial pancreatic carcinoma,BRCA1,BRCA1 DNA repair associated
Familial pancreatic carcinoma,BRCA2,BRCA2 DNA repair associated
Familial pancreatic carcinoma,CDKN2A,cyclin dependent kinase inhibitor 2A
Familial pancreatic carcinoma,SMAD4,SMAD family member 4
Familial pancreatic carcinoma,TP53,tumor protein p53
Familial pancreatic carcinoma,KRAS,"KRAS proto-oncogene, GTPase"
Familial pancreatic carcinoma,PALB2,partner and localizer of BRCA2
Familial pancreatic carcinoma,PALLD,"palladin, cytoskeletal associated protein"
Familial pancreatic carcinoma,RABL3,"RAB, member of RAS oncogene family like 3"
Congenital generalized  lipodystrophy type 4,CAVIN1,caveolae associated protein 1
Spondylo-megaepiphyseal-metaphyseal dysplasia,NKX3-2,NK3 homeobox 2
Frontonasal dysplasia-alopecia-genital anomalies syndrome,ALX4,ALX homeobox 4
2q23.1 microdeletion syndrome,MBD5,methyl-CpG binding domain protein 5
CLN7 disease,MFSD8,major facilitator superfamily domain containing 8
5q14.3 microdeletion syndrome,MEF2C,myocyte enhancer factor 2C
Charcot-Marie-Tooth disease type 2B5,NEFL,neurofilament light chain
CLN4 disease,DNAJC5,DnaJ heat shock protein family (Hsp40) member C5
"Carnitine palmitoyl transferase II deficiency, myopathic form",CPT2,carnitine palmitoyltransferase 2
"Carnitine palmitoyl transferase II deficiency, severe infantile form",CPT2,carnitine palmitoyltransferase 2
"Carnitine palmitoyl transferase II deficiency, neonatal form",CPT2,carnitine palmitoyltransferase 2
Overhydrated hereditary stomatocytosis,RHAG,Rh associated glycoprotein
Dehydrated hereditary stomatocytosis,SLC4A1,solute carrier family 4 member 1 (Diego blood group)
Dehydrated hereditary stomatocytosis,PIEZO1,piezo type mechanosensitive ion channel component 1 (Er blood group)
Dehydrated hereditary stomatocytosis,KCNN4,potassium calcium-activated channel subfamily N member 4
Idiopathic ventricular fibrillation,SCN5A,sodium voltage-gated channel alpha subunit 5
Idiopathic ventricular fibrillation,DPP6,dipeptidyl peptidase like 6
X-linked Alport syndrome-diffuse leiomyomatosis,COL4A6,collagen type IV alpha 6 chain
X-linked Alport syndrome-diffuse leiomyomatosis,COL4A5,collagen type IV alpha 5 chain
Self-limited infantile epilepsy,SCN8A,sodium voltage-gated channel alpha subunit 8
Self-limited infantile epilepsy,SCN2A,sodium voltage-gated channel alpha subunit 2
Self-limited infantile epilepsy,KCNQ2,potassium voltage-gated channel subfamily Q member 2
Self-limited infantile epilepsy,KCNQ3,potassium voltage-gated channel subfamily Q member 3
Self-limited infantile epilepsy,PRRT2,proline rich transmembrane protein 2
Congenital factor X deficiency,F10,coagulation factor X
Autosomal dominant Charcot-Marie-Tooth disease type 2N,AARS1,alanyl-tRNA synthetase 1
Autosomal dominant striatal neurodegeneration,PDE8B,phosphodiesterase 8B
Hemoglobin C disease,HBB,hemoglobin subunit beta
Hemoglobin E disease,HBB,hemoglobin subunit beta
Autosomal dominant Charcot-Marie-Tooth disease type 2M,DNM2,dynamin 2
Hereditary elliptocytosis,SPTA1,"spectrin alpha, erythrocytic 1"
Hereditary elliptocytosis,SPTB,"spectrin beta, erythrocytic"
Hereditary elliptocytosis,EPB41,erythrocyte membrane protein band 4.1
Hereditary elliptocytosis,GYPC,glycophorin C (Gerbich blood group)
Hermansky-Pudlak syndrome due to BLOC-1 deficiency,DTNBP1,dystrobrevin binding protein 1
Hermansky-Pudlak syndrome due to BLOC-1 deficiency,BLOC1S5,biogenesis of lysosomal organelles complex 1 subunit 5
Hermansky-Pudlak syndrome due to BLOC-1 deficiency,BLOC1S3,biogenesis of lysosomal organelles complex 1 subunit 3
Hermansky-Pudlak syndrome due to BLOC-1 deficiency,BLOC1S6,biogenesis of lysosomal organelles complex 1 subunit 6
Hermansky-Pudlak syndrome due to BLOC-2 deficiency,HPS3,HPS3 biogenesis of lysosomal organelles complex 2 subunit 1
Hermansky-Pudlak syndrome due to BLOC-2 deficiency,HPS5,HPS5 biogenesis of lysosomal organelles complex 2 subunit 2
Hermansky-Pudlak syndrome due to BLOC-2 deficiency,HPS6,HPS6 biogenesis of lysosomal organelles complex 2 subunit 3
Early-onset generalized limb-onset dystonia,TOR1A,torsin family 1 member A
Early-onset generalized limb-onset dystonia,EIF2AK2,eukaryotic translation initiation factor 2 alpha kinase 2
Early-onset generalized limb-onset dystonia,SHQ1,"SHQ1, H/ACA ribonucleoprotein assembly factor"
Hermansky-Pudlak syndrome due to BLOC-3 deficiency,HPS1,HPS1 biogenesis of lysosomal organelles complex 3 subunit 1
Hermansky-Pudlak syndrome due to BLOC-3 deficiency,HPS4,HPS4 biogenesis of lysosomal organelles complex 3 subunit 2
Narcolepsy type 1,HCRT,hypocretin neuropeptide precursor
Narcolepsy type 1,HLA-DRB1,"major histocompatibility complex, class II, DR beta 1"
Narcolepsy type 1,HLA-DQB1,"major histocompatibility complex, class II, DQ beta 1"
Narcolepsy type 1,MOG,myelin oligodendrocyte glycoprotein
Narcolepsy type 1,TNFSF4,TNF superfamily member 4
Narcolepsy type 1,P2RY11,purinergic receptor P2Y11
Narcolepsy type 1,ZNF365,zinc finger protein 365
Narcolepsy type 1,CTSH,cathepsin H
Alpha-thalassemia-myelodysplastic syndrome,ATRX,ATRX chromatin remodeler
Beta-thalassemia-X-linked thrombocytopenia syndrome,GATA1,GATA binding protein 1
Medullary sponge kidney,HNF1B,HNF1 homeobox B
Hemoglobin E-beta-thalassemia syndrome,HBB,hemoglobin subunit beta
Hemoglobin C-beta-thalassemia syndrome,HBB,hemoglobin subunit beta
Idiopathic hypercalciuria,ADCY10,adenylate cyclase 10
Delta-beta-thalassemia,HBB,hemoglobin subunit beta
Delta-beta-thalassemia,HBG1,hemoglobin subunit gamma 1
Delta-beta-thalassemia,HBD,hemoglobin subunit delta
Unstable beta globin chain variant disease,HBB,hemoglobin subunit beta
Beta-thalassemia intermedia,HBB,hemoglobin subunit beta
Beta-thalassemia major,HBB,hemoglobin subunit beta
Hailey-Hailey disease,ATP2C1,ATPase secretory pathway Ca2+ transporting 1
Usher syndrome type 3,CEP78,centrosomal protein 78
Usher syndrome type 3,ARSG,arylsulfatase G
Usher syndrome type 3,CLRN1,clarin 1
Usher syndrome type 3,MT-TS2,mitochondrially encoded tRNA-Ser (AGU/C) 2
Usher syndrome type 3,HARS1,histidyl-tRNA synthetase 1
Frasier syndrome,WT1,WT1 transcription factor
Usher syndrome type 2,USH2A,usherin
Usher syndrome type 2,ADGRV1,adhesion G protein-coupled receptor V1
Usher syndrome type 2,MYO7A,myosin VIIA
Usher syndrome type 2,WHRN,whirlin
Usher syndrome type 2,PDZD7,PDZ domain containing 7
Myopathy and diabetes mellitus,MT-TE,mitochondrially encoded tRNA-Glu (GAA/G)
Combined immunodeficiency due to partial RAG1 deficiency,RAG1,recombination activating 1
Properdin deficiency,CFP,complement factor properdin
Familial cerebral saccular aneurysm,ANGPTL6,angiopoietin like 6
Familial cerebral saccular aneurysm,COL3A1,collagen type III alpha 1 chain
Familial cerebral saccular aneurysm,ENG,endoglin
Familial cerebral saccular aneurysm,TGFBR3,transforming growth factor beta receptor 3
Familial cerebral saccular aneurysm,THSD1,thrombospondin type 1 domain containing 1
Usher syndrome type 1,USH1K,Usher syndrome 1K (autosomal recessive)
Usher syndrome type 1,CDH23,cadherin related 23
Usher syndrome type 1,USH1C,USH1 protein network component harmonin
Usher syndrome type 1,USH1G,USH1 protein network component sans
Usher syndrome type 1,MYO7A,myosin VIIA
Usher syndrome type 1,PCDH15,protocadherin related 15
Usher syndrome type 1,USH1E,"Usher syndrome 1E (autosomal recessive, severe)"
Usher syndrome type 1,USH1H,Usher syndrome 1H (autosomal recessive)
Usher syndrome type 1,CIB2,calcium and integrin binding family member 2
Usher syndrome type 1,ESPN,espin
Silver-Russell syndrome due to an imprinting defect of 11p15,IGF2,insulin like growth factor 2
Silver-Russell syndrome due to an imprinting defect of 11p15,H19,H19 imprinted maternally expressed transcript
Silver-Russell syndrome due to 11p15 microduplication,H19,H19 imprinted maternally expressed transcript
Silver-Russell syndrome due to 11p15 microduplication,IGF2,insulin like growth factor 2
Beckwith-Wiedemann syndrome due to CDKN1C mutation,CDKN1C,cyclin dependent kinase inhibitor 1C
Beckwith-Wiedemann syndrome due to 11p15 microdeletion,H19,H19 imprinted maternally expressed transcript
Rhabdoid tumor predisposition syndrome,SMARCB1,SWI/SNF related BAF chromatin remodeling complex subunit B1
Rhabdoid tumor predisposition syndrome,SMARCA4,SWI/SNF related BAF chromatin remodeling complex subunit ATPase 4
Beckwith-Wiedemann syndrome due to imprinting defect of 11p15,H19,H19 imprinted maternally expressed transcript
Beckwith-Wiedemann syndrome due to imprinting defect of 11p15,KCNQ1OT1,KCNQ1 opposite strand/antisense transcript 1
Beckwith-Wiedemann syndrome due to imprinting defect of 11p15,IGF2,insulin like growth factor 2
Familial generalized lentiginosis,SASH1,SAM and SH3 domain containing 1
Essential thrombocythemia,TET2,tet methylcytosine dioxygenase 2
Essential thrombocythemia,JAK2,Janus kinase 2
Essential thrombocythemia,MPL,"MPL proto-oncogene, thrombopoietin receptor"
Essential thrombocythemia,CALR,calreticulin
Essential thrombocythemia,SH2B3,SH2B adaptor protein 3
Essential thrombocythemia,TP53,tumor protein p53
Ehlers-Danlos/osteogenesis imperfecta syndrome,COL1A1,collagen type I alpha 1 chain
Ehlers-Danlos/osteogenesis imperfecta syndrome,COL1A2,collagen type I alpha 2 chain
Cardiac-valvular Ehlers-Danlos syndrome,COL1A2,collagen type I alpha 2 chain
Hereditary thrombophilia due to congenital antithrombin deficiency,SERPINC1,serpin family C member 1
Classical-like Ehlers-Danlos syndrome type 1,TNXB,tenascin XB
AApoAII amyloidosis,APOA2,apolipoprotein A2
15q11q13 microduplication syndrome,UBE3A,ubiquitin protein ligase E3A
Severe X-linked mitochondrial encephalomyopathy,AIFM1,apoptosis inducing factor mitochondria associated 1
Autosomal dominant generalized dystrophic epidermolysis bullosa,COL7A1,collagen type VII alpha 1 chain
Kyphoscoliotic Ehlers-Danlos syndrome due to lysyl hydroxylase 1 deficiency,PLOD1,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"
Isolated growth hormone deficiency type IB,GH1,growth hormone 1
Vascular Ehlers-Danlos syndrome,COL3A1,collagen type III alpha 1 chain
Isolated growth hormone deficiency type II,GH1,growth hormone 1
Isolated growth hormone deficiency type II,POU1F1,POU class 1 homeobox 1
Isolated growth hormone deficiency type IA,GH1,growth hormone 1
Isolated growth hormone deficiency type IA,RNPC3,"RNA binding region (RNP1, RRM) containing 3"
Epidermolysis bullosa simplex with muscular dystrophy,PLEC,plectin
Dermatosparaxis Ehlers-Danlos syndrome,ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2
Dermatosparaxis Ehlers-Danlos syndrome,ADAMTSL2,ADAMTS like 2
Non-acquired combined pituitary hormone deficiency-sensorineural hearing loss-spine abnormalities syndrome,LHX3,LIM homeobox 3
Arthrochalasia Ehlers-Danlos syndrome,COL1A2,collagen type I alpha 2 chain
Arthrochalasia Ehlers-Danlos syndrome,COL1A1,collagen type I alpha 1 chain
"Congenital nephrotic syndrome, Finnish type",NPHS1,"NPHS1 adhesion molecule, nephrin"
Miller-Dieker syndrome,HIC1,HIC ZBTB transcriptional repressor 1
Miller-Dieker syndrome,YWHAE,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon
Miller-Dieker syndrome,PAFAH1B1,platelet activating factor acetylhydrolase 1b regulatory subunit 1
X-linked lissencephaly with abnormal genitalia,ARX,aristaless related homeobox
Glaucoma secondary to spherophakia/ectopia lentis and megalocornea,LTBP2,latent transforming growth factor beta binding protein 2
Familial congenital mirror movements,DNAL4,dynein axonemal light chain 4
Familial congenital mirror movements,RAD51,RAD51 recombinase
Familial congenital mirror movements,DCC,DCC netrin 1 receptor
Familial congenital mirror movements,NTN1,netrin 1
1q44 microdeletion syndrome,HNRNPU,heterogeneous nuclear ribonucleoprotein U
Combined immunodeficiency due to CD27 deficiency,CD27,CD27 molecule
Familial hypercholanemia,EPHX1,epoxide hydrolase 1
Familial hypercholanemia,TJP2,tight junction protein 2
Familial hypercholanemia,BAAT,bile acid-CoA:amino acid N-acyltransferase
Familial hypercholanemia,SLC10A1,solute carrier family 10 member 1
Infantile dystonia-parkinsonism,SLC6A3,solute carrier family 6 member 3
Infantile dystonia-parkinsonism,WARS2,"tryptophanyl tRNA synthetase 2, mitochondrial"
SLC35A1-CDG,SLC35A1,solute carrier family 35 member A1
Familial clubfoot due to 17q23.1q23.2 microduplication,TBX4,T-box transcription factor 4
Chuvash erythrocytosis,VHL,von Hippel-Lindau tumor suppressor
Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections syndrome,IL10,interleukin 10
Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections syndrome,IL10RA,interleukin 10 receptor subunit alpha
Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections syndrome,IL10RB,interleukin 10 receptor subunit beta
Atypical hypotonia-cystinuria syndrome,SLC3A1,solute carrier family 3 member 1
Atypical hypotonia-cystinuria syndrome,PREPL,prolyl endopeptidase like
Atypical hypotonia-cystinuria syndrome,CAMKMT,calmodulin-lysine N-methyltransferase
Isolated thyrotropin-releasing hormone deficiency,TRH,thyrotropin releasing hormone
Classic progressive supranuclear palsy syndrome,MAPT,microtubule associated protein tau
Progressive supranuclear palsy-progressive non-fluent aphasia syndrome,MAPT,microtubule associated protein tau
Progressive supranuclear palsy-corticobasal syndrome,MAPT,microtubule associated protein tau
Progressive supranuclear palsy-pure akinesia with gait freezing syndrome,MAPT,microtubule associated protein tau
Progressive supranuclear palsy-predominant parkinsonism syndrome,MAPT,microtubule associated protein tau
Nijmegen breakage syndrome-like disorder,MRE11,MRE11 double strand break repair nuclease
Nijmegen breakage syndrome-like disorder,RAD50,RAD50 double strand break repair protein
Susceptibility to infection due to TYK2 deficiency,TYK2,tyrosine kinase 2
Severe congenital neutropenia due to G6PC3 deficiency,G6PC3,glucose-6-phosphatase catalytic subunit 3
Immunodeficiency due to MASP-2 deficiency,MASP2,MBL associated serine protease 2
Immunodeficiency due to ficolin3 deficiency,FCN3,ficolin 3
Severe combined immunodeficiency due to complete RAG1/2 deficiency,RAG1,recombination activating 1
Severe combined immunodeficiency due to complete RAG1/2 deficiency,RAG2,recombination activating 2
Hemoglobin Lepore-beta-thalassemia syndrome,HBD,hemoglobin subunit delta
Hemoglobin M disease,HBA2,hemoglobin subunit alpha 2
Hemoglobin M disease,HBB,hemoglobin subunit beta
Hemoglobin M disease,HBA1,hemoglobin subunit alpha 1
DNM1L-related encephalopathy due to mitochondrial and peroxisomal fission defect,DNM1L,dynamin 1 like
Congenital cataract-progressive muscular hypotonia-hearing loss-developmental delay syndrome,GFER,"growth factor, augmenter of liver regeneration"
5p13 microduplication syndrome,NIPBL,NIPBL cohesin loading factor
Spastic paraplegia-Paget disease of bone syndrome,VCP,valosin containing protein
Lipoprotein glomerulopathy,APOE,apolipoprotein E
Adult-onset distal myopathy due to VCP mutation,VCP,valosin containing protein
C3 glomerulonephritis,CFHR1,complement factor H related 1
C3 glomerulonephritis,CFHR5,complement factor H related 5
C3 glomerulonephritis,CFHR3,complement factor H related 3
C3 glomerulonephritis,CFHR2,complement factor H related 2
Generalized juvenile polyposis/juvenile polyposis coli,BMPR1A,bone morphogenetic protein receptor type 1A
Generalized juvenile polyposis/juvenile polyposis coli,ENG,endoglin
Generalized juvenile polyposis/juvenile polyposis coli,SMAD4,SMAD family member 4
Intermittent hydrarthrosis,MEFV,"MEFV innate immunity regulator, pyrin"
Intermittent hydrarthrosis,TNFRSF1A,TNF receptor superfamily member 1A
Immunoglobulin-mediated membranoproliferative glomerulonephritis,CFH,complement factor H
Immunoglobulin-mediated membranoproliferative glomerulonephritis,DGKE,diacylglycerol kinase epsilon
Fatty acid hydroxylase-associated neurodegeneration,FA2H,fatty acid 2-hydroxylase
Adult-onset multiple mitochondrial DNA deletion syndrome due to DGUOK deficiency,DGUOK,deoxyguanosine kinase
Thrombocythemia with distal limb defects,THPO,thrombopoietin
Beta-propeller protein-associated neurodegeneration,WDR45,WD repeat domain 45
Distal arthrogryposis type 5D,ECEL1,endothelin converting enzyme like 1
"Autosomal dominant focal dystonia, DYT25 type",GNAL,G protein subunit alpha L
Acute megakaryoblastic leukemia in children without Down syndrome,GLIS2,GLIS family zinc finger 2
Acute megakaryoblastic leukemia in children without Down syndrome,CBFA2T3,CBFA2/RUNX1 partner transcriptional co-repressor 3
Adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy,RRM2B,ribonucleotide reductase regulatory TP53 inducible subunit M2B
Adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy,RNASEH1,ribonuclease H1
Microcephalic primordial dwarfism due to ZNF335 deficiency,ZNF335,zinc finger protein 335
Schuurs-Hoeijmakers syndrome,PACS1,phosphofurin acidic cluster sorting protein 1
Cerebral sinovenous thrombosis,F2,"coagulation factor II, thrombin"
Cerebral sinovenous thrombosis,F5,coagulation factor V
Cerebral sinovenous thrombosis,PROZ,"protein Z, vitamin K dependent plasma glycoprotein"
Autosomal dominant neovascular inflammatory vitreoretinopathy,CAPN5,calpain 5
Developmental delay with autism spectrum disorder and gait instability,HERC2,HECT and RLD domain containing E3 ubiquitin protein ligase 2
Tall stature-long halluces-multiple extra-epiphyses syndrome,NPR2,natriuretic peptide receptor 2
Congenital muscular dystrophy with intellectual disability and severe epilepsy,DPM2,"dolichyl-phosphate mannosyltransferase subunit 2, regulatory"
Autosomal dominant Charcot-Marie-Tooth disease type 2Q,DHTKD1,dehydrogenase E1 and transketolase domain containing 1
Severe early-onset obesity-insulin resistance syndrome due to SH2B1 deficiency,SH2B1,SH2B adaptor protein 1
Congenital chronic diarrhea with protein-losing enteropathy,PLVAP,plasmalemma vesicle associated protein
Congenital chronic diarrhea with protein-losing enteropathy,DGAT1,diacylglycerol O-acyltransferase 1
X-linked central congenital hypothyroidism with late-onset testicular enlargement,IGSF1,immunoglobulin superfamily member 1
Autoinflammatory syndrome with pyogenic bacterial infection and amylopectinosis,RBCK1,RANBP2-type and C3HC4-type zinc finger containing 1
Autoinflammatory syndrome with pyogenic bacterial infection and amylopectinosis,RNF31,ring finger protein 31
Congenital factor XI deficiency,F11,coagulation factor XI
Best vitelliform macular dystrophy,BEST1,bestrophin 1
Classic congenital lipoid adrenal hyperplasia due to STAR deficency,STAR,steroidogenic acute regulatory protein
Leydig cell hypoplasia due to LHB deficiency,LHB,luteinizing hormone subunit beta
Non-classic congenital lipoid adrenal hyperplasia due to STAR deficency,STAR,steroidogenic acute regulatory protein
Proteasome-associated autoinflammatory syndrome,PSMB8,proteasome 20S subunit beta 8
ABetaA21G amyloidosis,APP,amyloid beta precursor protein
"ABeta amyloidosis, Italian type",APP,amyloid beta precursor protein
SRD5A3-CDG,SRD5A3,steroid 5 alpha-reductase 3
"ABeta amyloidosis, Arctic type",APP,amyloid beta precursor protein
"ABeta amyloidosis, Iowa type",APP,amyloid beta precursor protein
ABetaL34V amyloidosis,APP,amyloid beta precursor protein
Autosomal dominant Charcot-Marie-Tooth disease type 2 due to KIF5A mutation,KIF5A,kinesin family member 5A
Classic multiminicore myopathy,SELENON,selenoprotein N
Classic multiminicore myopathy,TTN,titin
Classic multiminicore myopathy,MYH7,myosin heavy chain 7
Familial dyskinesia and facial myokymia,ADCY5,adenylate cyclase 5
X-linked cleft palate and ankyloglossia,TBX22,T-box transcription factor 22
Benign Samaritan congenital myopathy,RYR1,ryanodine receptor 1
Autosomal dominant intermediate Charcot-Marie-Tooth disease with neuropathic pain,MPZ,myelin protein zero
Pontocerebellar hypoplasia type 8,CHMP1A,charged multivesicular body protein 1A
Hyperinsulinism due to HNF1A deficiency,HNF1A,HNF1 homeobox A
Hypopigmentation-punctate palmoplantar keratoderma syndrome,ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1
Autoinflammation-PLCG2-associated antibody deficiency-immune dysregulation,PLCG2,phospholipase C gamma 2
Combined oxidative phosphorylation defect type 11,RMND1,required for meiotic nuclear division 1 homolog
Hypertrophic cardiomyopathy with kidney anomalies due to mitochondrial DNA mutation,MT-TL1,mitochondrially encoded tRNA-Leu (UUA/G) 1
Autosomal recessive axonal neuropathy with neuromyotonia,HINT1,histidine triad nucleotide binding protein 1
ALG13-CDG,ALG13,ALG13 UDP-N-acetylglucosaminyltransferase subunit
X-linked intellectual disability-cardiomegaly-congestive heart failure syndrome,CLIC2,chloride intracellular channel 2
